Company Name,Location,Industry,Founded Year,Employee Count,Annual Revenue (Million USD),Website
OEM Company 1,"City 1, Country 1",Automotive,1980,50,10,https://www.oemcompany1.com
OEM Company 2,"City 2, Country 2",Electronics,1981,55,12,https://www.oemcompany2.com
OEM Company 3,"City 3, Country 3",Machinery,1982,60,14,https://www.oemcompany3.com
OEM Company 4,"City 4, Country 4",Automotive,1983,65,16,https://www.oemcompany4.com
OEM Company 5,"City 5, Country 5",Electronics,1984,70,18,https://www.oemcompany5.com
OEM Company 6,"City 6, Country 6",Machinery,1985,75,20,https://www.oemcompany6.com
OEM Company 7,"City 7, Country 7",Automotive,1986,80,22,https://www.oemcompany7.com
OEM Company 8,"City 8, Country 8",Electronics,1987,85,24,https://www.oemcompany8.com
OEM Company 9,"City 9, Country 9",Machinery,1988,90,26,https://www.oemcompany9.com
OEM Company 10,"City 10, Country 10",Automotive,1989,95,28,https://www.oemcompany10.com
OEM Company 11,"City 11, Country 1",Electronics,1990,100,30,https://www.oemcompany11.com
OEM Company 12,"City 12, Country 2",Machinery,1991,105,32,https://www.oemcompany12.com
OEM Company 13,"City 13, Country 3",Automotive,1992,110,34,https://www.oemcompany13.com
OEM Company 14,"City 14, Country 4",Electronics,1993,115,36,https://www.oemcompany14.com
OEM Company 15,"City 15, Country 5",Machinery,1994,120,38,https://www.oemcompany15.com
OEM Company 16,"City 16, Country 6",Automotive,1995,125,40,https://www.oemcompany16.com
OEM Company 17,"City 17, Country 7",Electronics,1996,130,42,https://www.oemcompany17.com
OEM Company 18,"City 18, Country 8",Machinery,1997,135,44,https://www.oemcompany18.com
OEM Company 19,"City 19, Country 9",Automotive,1998,140,46,https://www.oemcompany19.com
OEM Company 20,"City 20, Country 10",Electronics,1999,145,48,https://www.oemcompany20.com
OEM Company 21,"City 21, Country 1",Machinery,2000,150,50,https://www.oemcompany21.com
OEM Company 22,"City 22, Country 2",Automotive,2001,155,52,https://www.oemcompany22.com
OEM Company 23,"City 23, Country 3",Electronics,2002,160,54,https://www.oemcompany23.com
OEM Company 24,"City 24, Country 4",Machinery,2003,165,56,https://www.oemcompany24.com
OEM Company 25,"City 25, Country 5",Automotive,2004,170,58,https://www.oemcompany25.com
